match_status,source_paper_id,ref_idx,parsed_title,parsed_year,parsed_doi,matched_target_paper_id,match_method,match_score,qa_reason_hint
matched,paper_auto_c3935b182698,20,Robust conjugate duality for convex optimization under uncertainty with application to data classification,2011,,paper_0e103349921a,author_year,0.78,check_target_correctness
matched,paper_5adba208276e,4,Sparse sum-of-squares certificates on finite abelian groups,2016,,paper_812d5e22f3e9,author_year,0.78,check_target_correctness
matched,paper_1280a01e335e,11,Vector equilibrium problems on dense sets,2016,,paper_1280a01e335e,author_year,0.78,check_target_correctness
matched,paper_auto_f3c95ae77460,16,Submodular function minimization,2008,,paper_22ab9db71d9e,title_fuzzy,1.0,check_target_correctness
matched,paper_f29bda86335d,7,Interior-point $\ell_2$ -penalty methods for nonlinear programming with strong global convergence properties,2006,,paper_2ec10d173b2d,title_fuzzy,1.0,check_target_correctness
matched,paper_auto_0a8f9595cf6c,8,Tight integral duality gap in the Chinese Postman problem,1985,,paper_90b78518a4fc,title_fuzzy,1.0,check_target_correctness
matched,paper_af98df943f46,11,Convex Analysis and Monotone Operator Theory in Hilbert Spaces,2011,,paper_2d2851705fd9,author_year,0.78,check_target_correctness
matched,paper_6b8baac8eb8c,7,Characterization of the robust isolated calmness for a class of conic programming problems,2017,,paper_1d9e953a2ec0,title_exact,0.95,check_target_correctness
matched,paper_8a9219ba2951,33,"A class of methods for solving large, convex quadratic programs subject to box constraints",1991,,paper_fde22664ebd8,title_fuzzy,1.0,check_target_correctness
matched,paper_50b9835684cb,13,Penalty methods for the solution of generalized Nash equilibrium problems,2010,10.1137/090749499,paper_4491ac76a804,doi_exact,1.0,check_target_correctness
matched,paper_ef9f6089b945,7,An aggregate subgradient method for nonsmooth convex minimization,1983,,paper_fb6f5f6bb787,title_fuzzy,1.0,check_target_correctness
matched,paper_auto_f395d8541abf,37,A proximal-based decomposition method for convex minimization problems,1994,,paper_8073c631e0c6,title_fuzzy,1.0,check_target_correctness
matched,paper_9679e1419c5c,2,Hilbert-valued perturbed subgradient algorithms,2007,,paper_87ca7188543a,author_year,0.78,check_target_correctness
matched,paper_438103fc6728,42,Multistage stochastic decomposition: A bridge between stochastic programming and approximate dynamic programming,2014,,paper_fd85d93b2722,title_exact,0.95,check_target_correctness
matched,paper_ee9a17fb65ce,43,Stability of error bounds for convex constraint systems in Banach spaces,2010,10.1137/100782206,paper_52ff65a87fc5,doi_exact,1.0,check_target_correctness
